complaint_id,date,lat,lng,medicine_id,purchased_from_facility_id,description,reported_price,standard_price,estimated_loss,verified,district,city,state,postcode
CMP-DE5E3747,2024-05-07,3.079684,101.532773,MED-B85A6ED2,,Blister pack labelling inconsistent with MOH-registered product.,3.76,5.5,7.24,True,Kulim,Kulim,Kedah,09000
CMP-DF07088A,2023-01-08,3.041216,101.443432,MED-C029044A,,Expiry date appears tampered — original date scratched off.,3.5,9.0,14.5,False,Nilai,Nilai,Negeri Sembilan,71800
CMP-BD3EB468,2024-05-26,2.727081,101.945222,MED-28EB3902,,Online purchase via Telegram; seller account now deleted.,16.76,55.0,93.24,False,Rembau,Rembau,Negeri Sembilan,71300
CMP-A6814F5C,2023-04-19,3.080159,101.526872,MED-C029044A,,Multiple neighbours bought same batch; all reported ineffectiveness.,2.74,9.0,15.26,True,Nilai,Nilai,Negeri Sembilan,71800
CMP-2BCAD6E1,2023-12-10,4.588639,101.130982,MED-94DCD221,FAC-3ECA68E5,Medicine purchased from street vendor near the market.,3.55,6.0,2.45,True,Ipoh,Ipoh,Perak,30000
CMP-B1FD4A61,2024-03-31,2.735613,101.909542,MED-B036DD9C,FAC-8AE744B9,Multiple neighbours bought same batch; all reported ineffectiveness.,63.8,95.0,31.2,True,Seremban,Seremban,Negeri Sembilan,70000
CMP-28C2CA79,2022-09-04,1.456602,103.760651,MED-B85A6ED2,,Price was 60% below standard — suspect adulterated product.,2.51,5.5,8.49,False,Rembau,Rembau,Negeri Sembilan,71300
CMP-429A2CB9,2023-11-13,3.041393,101.444292,MED-94DCD221,,Price was 60% below standard — suspect adulterated product.,3.6,6.0,8.4,True,Melaka Tengah,Melaka,Melaka,75000
CMP-DEE89398,2023-05-17,3.160942,101.694136,MED-0A195B42,,Packaging seal already broken upon purchase.,5.09,14.0,22.91,True,Kampar,Kampar,Perak,31400
CMP-275289ED,2023-09-10,2.724944,101.944344,MED-94DCD221,,Outer box appeared genuine but inner foil pack had no hologram.,4.25,6.0,7.75,True,Brickfields,Kuala Lumpur,Kuala Lumpur,50470
